Fecha,USD
2022-08-14,134.5183
2022-08-15,134.5183
2022-08-16,135.395
2022-08-17,135.57
2022-08-18,135.7733
2022-08-19,136.06
2022-08-20,136.06
2022-08-21,136.06
2022-08-22,136.685
2022-08-23,136.9033
2022-08-24,137.145
2022-08-25,137.3933
2022-08-26,137.6517
2022-08-27,137.6517
2022-08-28,137.6517
2022-08-29,138.325
2022-08-30,138.5717
2022-08-31,138.7133
2022-09-01,139.005
2022-09-02,139.005
2022-09-03,139.005
2022-09-04,139.005
2022-09-05,140.2
2022-09-06,140.5783
2022-09-07,140.82
2022-09-08,141.1767
2022-09-09,141.375
2022-09-10,141.375
2022-09-11,141.375
2022-09-12,142.275
2022-09-13,142.575
2022-09-14,142.875
2022-09-15,143.1817
2022-09-16,143.4967
2022-09-17,143.4967
2022-09-18,143.4967
2022-09-19,144.345
2022-09-20,144.6317
2022-09-21,144.9033
2022-09-22,145.1683
2022-09-23,145.4583
2022-09-24,145.4583
2022-09-25,145.4583
2022-09-26,146.2633
2022-09-27,146.5583
2022-09-28,146.8383
2022-09-29,147.09
2022-09-30,147.315
2022-10-01,147.315
2022-10-02,147.315
2022-10-03,148.2433
2022-10-04,148.5767
2022-10-05,148.9133
2022-10-06,149.1983
2022-10-07,149.1983
2022-10-08,149.1983
2022-10-09,149.1983
2022-10-10,149.1983
2022-10-11,150.7283
2022-10-12,151.0267
2022-10-13,151.3217
2022-10-14,151.6283
2022-10-15,151.6283
2022-10-16,151.6283
2022-10-17,152.53
2022-10-18,152.825
2022-10-19,153.165
2022-10-20,153.5
2022-10-21,153.8117
2022-10-22,153.8117
2022-10-23,153.8117
2022-10-24,154.7367
2022-10-25,155.0533
2022-10-26,155.3967
2022-10-27,155.6983
2022-10-28,156.0167
2022-10-29,156.0167
2022-10-30,156.0167
2022-10-31,156.895
2022-11-01,157.235
2022-11-02,157.5933
2022-11-03,157.94
2022-11-04,158.2667
2022-11-05,158.2667
2022-11-06,158.2667
2022-11-07,159.33
2022-11-08,159.7083
2022-11-09,160.0467
2022-11-10,160.3633
2022-11-11,160.7067
2022-11-12,160.7067
2022-11-13,160.7067
2022-11-14,161.7617
2022-11-15,162.1283
2022-11-16,162.4567
2022-11-17,162.795
2022-11-18,163.1467
2022-11-19,163.1467
2022-11-20,163.1467
2022-11-21,163.1467
2022-11-22,164.5233
2022-11-23,164.8467
2022-11-24,165.2133
2022-11-25,165.5883
2022-11-26,165.5883
2022-11-27,165.5883
2022-11-28,166.625
2022-11-29,166.955
2022-11-30,167.255
2022-12-01,167.685
2022-12-02,168.0933
2022-12-03,168.0933
2022-12-04,168.0933
2022-12-05,169.135
2022-12-06,169.5083
2022-12-07,169.8683
2022-12-08,169.8683
2022-12-09,169.8683
2022-12-10,169.8683
2022-12-11,169.8683
2022-12-12,171.425
2022-12-13,171.7617
2022-12-14,172.1
